timestamp,temperature,ph,turbidity,tds
2026-09-07T17:24:07.294Z,-68.75,5.48,1094.8,-315.3
2026-09-07T17:24:22.014Z,-68.75,5.46,1094.7,-314
2026-09-07T17:24:36.670Z,-68.75,5.49,1094.8,-312.5
2026-09-07T17:24:51.398Z,-68.75,5.49,1091.8,-317.5
2026-09-07T17:25:06.942Z,-68.75,5.51,1091.3,-318.4
2026-09-07T17:25:21.502Z,-68.75,5.5,1095,-314.6
2026-09-07T17:25:46.142Z,-68.75,5.51,1092.2,-315.5
2026-09-07T17:26:01.150Z,-68.75,5.52,1094.8,-311.7
2026-09-07T17:26:16.286Z,-68.75,5.51,1091.3,-317.1
2026-09-07T17:26:31.614Z,-68.75,5.49,1095,-314.5
2026-09-07T17:26:46.302Z,-68.75,5.51,1092.8,-312.3
2026-09-07T17:27:01.062Z,-68.75,5.51,1091,-317.8
2026-09-07T17:27:16.902Z,-68.75,5.49,1095.2,-313.3
2026-09-07T17:27:31.486Z,-68.75,5.5,1093.8,-316.1
2026-09-07T17:27:46.654Z,-68.75,5.52,1091.9,-315.3
2026-09-07T17:28:01.246Z,-68.75,5.51,1095.2,-315.4
2026-09-07T17:28:56.102Z,-68.75,5.52,1092.6,-315.5
2026-09-07T17:29:11.558Z,-68.75,5.49,1095.1,-313.1
2026-09-07T17:29:36.190Z,-68.75,5.52,1092.8,-313.1
2026-09-07T17:29:50.846Z,-68.75,5.5,1093.7,-312.4
2026-09-07T17:30:05.438Z,-68.75,5.52,1093,-312.6
2026-09-07T17:30:20.446Z,-68.75,5.51,1092.7,-314
2026-09-07T17:30:35.038Z,-68.75,5.5,1094.9,-312
2026-09-07T17:30:50.206Z,-68.75,5.51,1091,-315.7
2026-09-07T17:31:05.310Z,-68.75,5.51,1092.2,-314.4
2026-09-07T17:31:19.870Z,-68.75,5.49,1094.2,-314.7
2026-09-07T17:31:36.494Z,-68.75,5.48,1095,-311.8
2026-09-07T17:31:51.198Z,-68.75,5.49,1092.9,-315
2026-09-07T17:32:05.830Z,-68.75,5.51,1091.6,-317.5
2026-09-07T17:32:20.510Z,-68.75,5.5,1092,-316.1
2026-09-07T17:32:35.134Z,-12.56,5.51,1091.2,958.9
2026-09-07T17:32:50.126Z,-68.75,5.51,1095.2,-312.5
2026-09-07T17:33:04.806Z,-68.75,5.49,1095,-311.6
2026-09-07T17:33:19.902Z,-68.75,5.5,1094.6,-313.8
2026-09-07T17:33:34.654Z,-68.75,5.5,1091.7,-316.1
2026-09-07T17:33:49.246Z,-68.75,5.5,1092.6,-314.8
2026-09-07T17:34:04.454Z,-68.75,5.51,1091.8,-319.6
2026-09-07T17:34:29.958Z,-68.75,5.5,1093,-316.9
2026-09-07T17:34:44.478Z,-68.75,5.49,1094.2,-317.1
2026-09-07T17:34:59.166Z,-68.75,5.5,1091.8,-318.1
2026-09-07T17:35:14.558Z,-68.75,5.49,1093.4,-318.3
2026-09-07T17:35:40.046Z,-68.75,5.5,1094.4,-318.3
2026-09-07T17:35:54.590Z,-68.75,5.52,1094,-315.6
2026-09-07T17:37:51.390Z,-68.75,5.49,1091.8,-320.2
2026-09-07T17:38:07.294Z,-68.75,5.46,1094.6,-314.8
2026-09-07T17:38:32.734Z,-68.75,5.47,1094.2,-314.7
2026-09-07T17:38:47.902Z,-68.75,5.48,1091.2,-318.1
